Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-03-20 08:47 (-07),On Demand,Sam Yo,20,Cycling,Low Impact,20 min Recovery Ride,2022-03-19 07:45 (-07),68,57,30%,80,12.54,4.18,97,95.00,,
2022-03-20 09:08 (-07),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-03-04 03:00 (-07),,,,,,,14,,,
2022-03-20 09:15 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Quads & Hamstrings,2022-02-24 08:00 (-07),,,,,,,29,,,
2022-03-21 05:08 (-07),On Demand,Bradley Rose,5,Cycling,Warm Up,5 min Warm Up Ride,2021-10-05 22:00 (-07),31,102,38%,84,16.37,1.37,33,105.00,,
2022-03-21 05:14 (-07),On Demand,Cody Rigsby,15,Cycling,Music,15 min Pop Ride,2022-03-19 11:00 (-07),117,130,44%,78,17.70,4.43,141,123.00,,
2022-03-21 05:29 (-07),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2021-10-02 00:05 (-07),27,91,38%,76,15.49,1.29,40,116.00,,
2022-03-22 08:13 (-07),,,10,Cycling,,10 min Lanebreak Ride,,93,155,45%,81,18.65,3.10,126,,,
2022-03-22 08:25 (-07),On Demand,Robin Arzon,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-03-16 07:00 (-07),,,,,,,29,,,
2022-03-23 07:08 (-07),,,15,Cycling,,15 min Lanebreak Ride,,160,178,44%,90,19.59,4.88,216,,,
2022-03-24 07:05 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Warm Up,5 min Warm Up Ride,2021-09-24 23:30 (-07),30,100,35%,93,16.07,1.34,31,105.00,,
2022-03-24 07:24 (-07),On Demand,Ben Alldis,30,Cycling,Music,30 min 2010s Ride,2022-03-24 00:25 (-07),30,124,38%,92,17.50,1.19,30,101.00,,
2022-03-25 08:49 (-07),On Demand,Ben Alldis,15,Cycling,Music,15 min 2000s Ride,2022-03-17 01:02 (-07),149,166,45%,88,19.59,4.90,179,141.00,,
2022-03-25 20:50 (PDT),On Demand,Joslyn Thompson Rule,10,Stretching,Post-Run Stretch,10 min Post-Run Stretch,2022-03-14 00:25 (PDT),,,,,,,29,,,
2022-03-27 07:08 (-07),On Demand,Ben Alldis,10,Cycling,Warm Up,10 min Warm Up Ride,2022-03-25 00:00 (-07),76,126,39%,92,17.76,2.96,98,128.00,,
2022-03-27 07:18 (-07),On Demand,Camila Ramon,30,Cycling,Music,30 min EDM Ride,2022-03-26 04:52 (-07),284,158,46%,80,19.07,9.54,373,144.00,,
2022-03-27 07:49 (-07),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2021-12-22 23:35 (-07),51,84,39%,74,15.02,2.51,100,129.00,,
2022-03-28 07:26 (-07),On Demand,Ally Love,5,Cycling,Warm Up,5 min Warm Up Ride,2021-09-24 06:00 (-07),25,84,34%,88,14.94,1.25,30,101.00,,
2022-03-28 07:31 (-07),On Demand,Bradley Rose,20,Cycling,Low Impact,20 min Low Impact Ride,2022-03-18 03:25 (-07),92,77,34%,81,14.46,4.82,122,103.00,,
